PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional,MVP
262,240,43,76,15,0,19,60,0,0,18,59,0.317,0.37,0.617,0.987,165.0,148.0,10,3,0,1,1,abreujo02,1
202,160,46,40,11,0,14,29,8,1,38,60,0.25,0.406,0.581,0.987,156.0,93.0,3,4,0,0,2,acunaro01,0
205,185,29,48,15,1,8,23,2,1,20,74,0.259,0.332,0.481,0.813,126.0,89.0,4,0,0,0,0,adamewi01,0
1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0.0,0,0,0,0,0,adamsau02,0
51,49,4,9,2,0,2,9,0,0,2,18,0.184,0.216,0.347,0.563,45.0,17.0,3,0,0,0,0,adamsma01,0
132,124,9,20,4,0,3,7,0,1,7,55,0.161,0.212,0.266,0.478,30.0,33.0,3,1,0,0,0,adelljo01,0
101,89,10,17,7,0,0,3,1,0,11,23,0.191,0.287,0.27,0.557,57.0,24.0,3,1,0,0,0,adriaeh01,0
216,188,31,52,10,0,8,34,0,1,23,40,0.277,0.352,0.457,0.809,117.0,86.0,5,1,0,4,0,aguilje01,0
217,199,29,53,10,1,5,29,4,0,18,46,0.266,0.327,0.402,0.729,97.0,80.0,3,0,0,0,0,ahmedni01,0
183,155,16,38,6,1,0,9,7,3,25,34,0.245,0.357,0.297,0.654,74.0,46.0,1,2,0,0,0,akiyash01,0
231,219,35,62,15,0,3,22,3,0,5,30,0.283,0.306,0.393,0.698,88.0,86.0,6,3,2,2,0,alberha01,0
124,118,21,32,5,0,6,19,3,1,5,30,0.271,0.306,0.466,0.773,100.0,55.0,0,1,0,0,0,albieoz01,0
23,21,2,3,0,1,1,1,0,0,2,4,0.143,0.217,0.381,0.598,60.0,8.0,0,0,0,0,0,alcanse01,0
100,93,12,21,2,0,3,16,2,0,4,36,0.226,0.28,0.344,0.624,68.0,32.0,2,3,0,0,1,alfarjo01,0
29,28,5,6,0,1,2,7,3,0,1,8,0.214,0.241,0.5,0.741,96.0,14.0,0,0,0,0,0,alforan01,0
16,16,3,3,0,0,1,3,3,0,0,7,0.188,0.188,0.375,0.563,49.0,6.0,0,0,0,0,0,alforan01,0
13,12,2,3,0,1,1,4,0,0,1,1,0.25,0.308,0.667,0.974,155.0,8.0,0,0,0,0,0,alforan01,0
32,31,1,6,1,0,1,3,0,0,1,14,0.194,0.219,0.323,0.541,49.0,10.0,0,0,0,0,0,allenau01,0
32,26,4,4,1,0,1,4,2,0,3,10,0.154,0.281,0.308,0.589,62.0,8.0,0,2,0,1,0,allengr01,0
28,25,3,4,1,0,1,4,1,0,1,9,0.16,0.214,0.32,0.534,44.0,8.0,0,1,0,1,0,allengr01,0
4,1,1,0,0,0,0,0,1,0,2,1,0.0,0.75,0.0,0.75,138.0,0.0,0,1,0,0,0,allengr01,0
13,11,0,1,0,0,0,0,1,1,2,4,0.091,0.231,0.091,0.322,-5.0,1.0,0,0,0,0,0,almonab01,0
34,30,4,5,1,0,0,1,0,0,3,9,0.167,0.265,0.2,0.465,29.0,6.0,0,1,0,0,0,almoral01,0
239,208,31,48,6,0,16,35,1,0,24,61,0.231,0.326,0.49,0.817,122.0,102.0,4,6,0,1,4,alonspe01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,altavda01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,altavda01,0
210,192,32,42,9,0,5,18,2,3,17,39,0.219,0.286,0.344,0.629,71.0,66.0,5,1,0,0,0,altuvjo01,0
41,37,6,7,1,0,0,2,2,0,3,16,0.189,0.268,0.216,0.485,34.0,8.0,0,1,0,0,0,alvared01,0
9,8,2,2,0,0,1,4,0,0,0,1,0.25,0.333,0.625,0.958,153.0,5.0,1,1,0,0,0,alvaryo01,0
229,200,27,51,7,1,11,38,0,0,22,66,0.255,0.345,0.465,0.81,116.0,93.0,2,6,0,1,1,anderbr06,0
221,208,45,67,11,1,10,21,5,2,10,50,0.322,0.357,0.529,0.886,140.0,110.0,4,2,0,1,0,anderti01,0
111,103,11,20,5,0,3,7,3,1,8,15,0.194,0.252,0.33,0.582,60.0,34.0,5,0,0,0,0,andruel01,0
65,62,5,15,2,1,1,5,0,0,3,9,0.242,0.277,0.355,0.632,75.0,22.0,1,0,0,0,0,andujmi01,0
21,20,1,2,1,0,0,0,0,0,1,9,0.1,0.143,0.15,0.293,-19.0,3.0,0,0,0,0,0,apostsh01,0
56,47,7,8,1,0,2,8,1,0,6,18,0.17,0.304,0.319,0.623,63.0,15.0,1,3,0,0,0,aquinar01,0
80,72,8,18,2,0,1,9,0,0,8,21,0.25,0.325,0.319,0.644,73.0,23.0,0,0,0,0,0,arauzjo01,0
189,173,22,45,10,1,5,20,2,0,14,32,0.26,0.317,0.416,0.734,95.0,72.0,10,1,0,1,0,arciaor01,0
